Site,Year,BareGround,Ind,Spp
Plunkett,1,16.76666667,0,0
Bowman,1,0,0,0
Neal Smith,1,20.08,1,1
Kaldenberg,1,0,0,0
Cretsinger,1,0,0,0
Sheller,1,0,0,0
Sloan,1,0,0,0
Elkader,1,34.975,17,5
McClellan,1,0,0,0
Greving,1,21.25,0,0
Plunkett,2,0.7,1,1
Bowman,2,0,1,1
Neal Smith,2,12.48,1,1
Kaldenberg,2,20.16,0,0
Cretsinger,2,19,2,2
Sheller,2,0.22,0,0
Sloan,2,1.84,0,0
Elkader,2,24.26,18,5
McClellan,2,0.5,0,0
Peckumn,2,17.56,5,2
Plunkett,3,2.5,1,
Bowman,3,0.4,2,
Kaldenberg,3,4.34,7,
McClellan,3,1.68,3,
Sloan,3,8.48,2,
Sheller,3,4.32,11,
Cretsinger,3,12.2,7,
Peckumn,3,6.5,3,
