Site,Site,Year,BareGround,Ind,Spp
Plunkett,1,1,16.76666667,0,0
Bowman,2,1,0,0,0
Neal Smith,3,1,20.08,1,1
Kaldenberg,4,1,0,0,0
Cretsinger,5,1,0,0,0
Sheller,6,1,0,0,0
Sloan,7,1,0,0,0
Elkader,8,1,34.975,17,5
McClellan,9,1,0,0,0
Greving,10,1,21.25,0,0
Plunkett,1,2,0.7,1,1
Bowman,2,2,0,1,1
Neal Smith,3,2,12.48,1,1
Kaldenberg,4,2,20.16,0,0
Cretsinger,5,2,19,2,2
Sheller,6,2,0.22,0,0
Sloan,7,2,1.84,0,0
Elkader,8,2,24.26,18,5
McClellan,9,2,0.5,0,0
Peckumn,11,2,17.56,5,2
Plunkett,1,3,2.5,1,
Bowman,2,3,0.4,2,
Kaldenberg,4,3,4.34,7,
McClellan,9,3,1.68,3,
Sloan,7,3,8.48,2,
Sheller,6,3,4.32,11,
Cretsinger,5,3,12.2,7,
Peckumn,11,3,6.5,3,
